questionid,optionA,optionB,answer,reason,GT
75faebc8-025b-409b-b656-c4aaf5878eab,"the browns live in phoenix and keep their shutters closed. if they were open, the air conditioning bill would be too high. the man noticed a bedroom shutter open and closed it. the woman had the same experience and wondered about her husband. then they both saw their cat opening the shutter to look out.","the man put on his robe. if they were open, the air conditioning bill would be too high. the man noticed a bedroom shutter open and closed it. the woman had the same experience and wondered about her husband. then they both saw their cat opening the shutter to look out.",both,Both A and B arrates the same story story with little twist in it and both makes sense,A
75faebc8-025b-409b-b656-c4aaf5878eab,"the browns live in phoenix and keep their shutters closed. if they were open, the air conditioning bill would be too high. the man noticed a bedroom shutter open and closed it. the woman had the same experience and wondered about her husband. then they both saw their cat opening the shutter to look out.","the man put on his robe. if they were open, the air conditioning bill would be too high. the man noticed a bedroom shutter open and closed it. the woman had the same experience and wondered about her husband. then they both saw their cat opening the shutter to look out.",A,Option B had a line about the robe that does not fit in the story and leaves the reader confused.,A
75faebc8-025b-409b-b656-c4aaf5878eab,"the browns live in phoenix and keep their shutters closed. if they were open, the air conditioning bill would be too high. the man noticed a bedroom shutter open and closed it. the woman had the same experience and wondered about her husband. then they both saw their cat opening the shutter to look out.","the man put on his robe. if they were open, the air conditioning bill would be too high. the man noticed a bedroom shutter open and closed it. the woman had the same experience and wondered about her husband. then they both saw their cat opening the shutter to look out.",A,"Story ""B"" makes it seem like the man's robe needs to stay closed (it should, but it's irrelevant to the bill).",A
ff7a61b9-8848-4069-b532-3c6630e09f54,"i was playing tennis one day. i was doing very well and scoring a lot. i jumped up and swung my arm hard. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon.","i was playing tennis one day. i was doing very well and scoring a lot. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon. i had to go to the hospital to be treated for pain.",both,Both A and B narrated the story well and gives little twist at the end which made both the story intersting,A
ff7a61b9-8848-4069-b532-3c6630e09f54,"i was playing tennis one day. i was doing very well and scoring a lot. i jumped up and swung my arm hard. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon.","i was playing tennis one day. i was doing very well and scoring a lot. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon. i had to go to the hospital to be treated for pain.",both,Both has reasons and they justifies at the end.,A
ff7a61b9-8848-4069-b532-3c6630e09f54,"i was playing tennis one day. i was doing very well and scoring a lot. i jumped up and swung my arm hard. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon.","i was playing tennis one day. i was doing very well and scoring a lot. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon. i had to go to the hospital to be treated for pain.",B,Story B tells what happened which resulted into pain and also what was end result (going to the Hospital). Story A is only about talking about pain and there is no ending. This is why I selected Story B.,A
ff7a61b9-8848-4069-b532-3c6630e09f54,"i was playing tennis one day. i was doing very well and scoring a lot. i jumped up and swung my arm hard. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon.","i was playing tennis one day. i was doing very well and scoring a lot. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon. i had to go to the hospital to be treated for pain.",B,B was more appropriate since it is having a continuous flow than A and also have proper ending,A
ff7a61b9-8848-4069-b532-3c6630e09f54,"i was playing tennis one day. i was doing very well and scoring a lot. i jumped up and swung my arm hard. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon.","i was playing tennis one day. i was doing very well and scoring a lot. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon. i had to go to the hospital to be treated for pain.",both,"Both A and B have starting, content, ending as well as logic.",A
4025c027-2c13-433b-b8a5-d6c696da6fff,sara was obsessed with a new video game on her phone. she was so sad that she had to leave the game. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,sara was obsessed with a new video game on her phone. she would walk around outside while playing it all the time. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,B,Story A has details that do not make sense.,B
4025c027-2c13-433b-b8a5-d6c696da6fff,sara was obsessed with a new video game on her phone. she was so sad that she had to leave the game. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,sara was obsessed with a new video game on her phone. she would walk around outside while playing it all the time. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,both,The both are good enough,B
4025c027-2c13-433b-b8a5-d6c696da6fff,sara was obsessed with a new video game on her phone. she was so sad that she had to leave the game. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,sara was obsessed with a new video game on her phone. she would walk around outside while playing it all the time. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,B,B is more appropriate,B
4025c027-2c13-433b-b8a5-d6c696da6fff,sara was obsessed with a new video game on her phone. she was so sad that she had to leave the game. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,sara was obsessed with a new video game on her phone. she would walk around outside while playing it all the time. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,B,"""A"" doesn't really make sense since it seems that Sara didn't leave the game when it says she did.",B
4025c027-2c13-433b-b8a5-d6c696da6fff,sara was obsessed with a new video game on her phone. she was so sad that she had to leave the game. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,sara was obsessed with a new video game on her phone. she would walk around outside while playing it all the time. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,B,The option A is a bit jumbled up and does not make sense,B
71a5ad02-ce77-441a-9ad1-d6ca24403447,susan was a special education teacher who did not like to call in sick she was so tired she could barely stand. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,susan was a special education teacher who did not like to call in sick when she got such last time she didn't go to the doctor. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,A,is more fluent and more complete,B
71a5ad02-ce77-441a-9ad1-d6ca24403447,susan was a special education teacher who did not like to call in sick she was so tired she could barely stand. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,susan was a special education teacher who did not like to call in sick when she got such last time she didn't go to the doctor. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,B,story B had less rambling sentances,B
71a5ad02-ce77-441a-9ad1-d6ca24403447,susan was a special education teacher who did not like to call in sick she was so tired she could barely stand. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,susan was a special education teacher who did not like to call in sick when she got such last time she didn't go to the doctor. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,B,B: makes more sense in grammatical structure,B
71a5ad02-ce77-441a-9ad1-d6ca24403447,susan was a special education teacher who did not like to call in sick she was so tired she could barely stand. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,susan was a special education teacher who did not like to call in sick when she got such last time she didn't go to the doctor. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,neither,Both do not make sense in terms of timelines in the story.,B
71a5ad02-ce77-441a-9ad1-d6ca24403447,susan was a special education teacher who did not like to call in sick she was so tired she could barely stand. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,susan was a special education teacher who did not like to call in sick when she got such last time she didn't go to the doctor. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,neither,Both A and B are not logical and exactly the same content.,B
883715d7-09cd-40c0-81d7-6e74eb7bf6ab,the kids love to play with their dog. they take their new puppy that is full of energy. once there they realize it's empty. there's no other dogs for their puppy to play with. so they play with it themselves.,two friends go to the dog park. they take their new puppy that is full of energy. once there they realize it's empty. there's no other dogs for their puppy to play with. so they play with it themselves.,B,Only B makes sense as a full story. There are missing links in A.,B
883715d7-09cd-40c0-81d7-6e74eb7bf6ab,the kids love to play with their dog. they take their new puppy that is full of energy. once there they realize it's empty. there's no other dogs for their puppy to play with. so they play with it themselves.,two friends go to the dog park. they take their new puppy that is full of energy. once there they realize it's empty. there's no other dogs for their puppy to play with. so they play with it themselves.,B,The detail in B of taking a dog to a park makes more sense than kids love to play with their dog.,B
883715d7-09cd-40c0-81d7-6e74eb7bf6ab,the kids love to play with their dog. they take their new puppy that is full of energy. once there they realize it's empty. there's no other dogs for their puppy to play with. so they play with it themselves.,two friends go to the dog park. they take their new puppy that is full of energy. once there they realize it's empty. there's no other dogs for their puppy to play with. so they play with it themselves.,B,"Story ""A"" doesn't explain where the puppy is being taken to.",B
883715d7-09cd-40c0-81d7-6e74eb7bf6ab,the kids love to play with their dog. they take their new puppy that is full of energy. once there they realize it's empty. there's no other dogs for their puppy to play with. so they play with it themselves.,two friends go to the dog park. they take their new puppy that is full of energy. once there they realize it's empty. there's no other dogs for their puppy to play with. so they play with it themselves.,A,Story A clarified that two kids are having a puppy and they love to play with dogs. Its more likely for kids to play with dogs. So I think Story A is more appropriate.,B
883715d7-09cd-40c0-81d7-6e74eb7bf6ab,the kids love to play with their dog. they take their new puppy that is full of energy. once there they realize it's empty. there's no other dogs for their puppy to play with. so they play with it themselves.,two friends go to the dog park. they take their new puppy that is full of energy. once there they realize it's empty. there's no other dogs for their puppy to play with. so they play with it themselves.,both,Both A and B narrates the same story which is appropriate,B
3a4b9e43-d8b0-44da-b6b6-3a93d1f59cde,bruce and was on a third date with a girl he really liked. he had taken her to his friend's christmas party. he didn't even notice the mistletoe hanging in the doorway. he was very nervous and didn't know what to say. they had their first kiss under the mistletoe that night.,bruce and was on a third date with a girl he really liked. he had taken her to his friend's christmas party. he didn't even notice the mistletoe hanging in the doorway. but his date did. they had their first kiss under the mistletoe that night.,both,"Both stories make sense, although ""B"" makes more sense since the placement of his nervousness in ""A"" feels a bit awkward.",B
3a4b9e43-d8b0-44da-b6b6-3a93d1f59cde,bruce and was on a third date with a girl he really liked. he had taken her to his friend's christmas party. he didn't even notice the mistletoe hanging in the doorway. he was very nervous and didn't know what to say. they had their first kiss under the mistletoe that night.,bruce and was on a third date with a girl he really liked. he had taken her to his friend's christmas party. he didn't even notice the mistletoe hanging in the doorway. but his date did. they had their first kiss under the mistletoe that night.,both,Both make sense in terms of context.,B
3a4b9e43-d8b0-44da-b6b6-3a93d1f59cde,bruce and was on a third date with a girl he really liked. he had taken her to his friend's christmas party. he didn't even notice the mistletoe hanging in the doorway. he was very nervous and didn't know what to say. they had their first kiss under the mistletoe that night.,bruce and was on a third date with a girl he really liked. he had taken her to his friend's christmas party. he didn't even notice the mistletoe hanging in the doorway. but his date did. they had their first kiss under the mistletoe that night.,both,Both story A and B is relevant and appropriate as a complete story,B
3a4b9e43-d8b0-44da-b6b6-3a93d1f59cde,bruce and was on a third date with a girl he really liked. he had taken her to his friend's christmas party. he didn't even notice the mistletoe hanging in the doorway. he was very nervous and didn't know what to say. they had their first kiss under the mistletoe that night.,bruce and was on a third date with a girl he really liked. he had taken her to his friend's christmas party. he didn't even notice the mistletoe hanging in the doorway. but his date did. they had their first kiss under the mistletoe that night.,both,"Story A is slightly more descriptive in terms of what Bruce felt, but both stories make sense.",B
3a4b9e43-d8b0-44da-b6b6-3a93d1f59cde,bruce and was on a third date with a girl he really liked. he had taken her to his friend's christmas party. he didn't even notice the mistletoe hanging in the doorway. he was very nervous and didn't know what to say. they had their first kiss under the mistletoe that night.,bruce and was on a third date with a girl he really liked. he had taken her to his friend's christmas party. he didn't even notice the mistletoe hanging in the doorway. but his date did. they had their first kiss under the mistletoe that night.,B,Story made a bit more sense,B
33f48789-98a9-4d40-b8bc-3f18bfa73d2f,beth dreamed of being a movie star. she auditioned many films and commercials. she decided to audition for a big movie. finally after all her failures beth got a call. she was being cast into a star tv show role!,beth dreamed of being a movie star. she finally decided to move to hollywood. she auditioned many films and commercials. finally after all her failures beth got a call. she was being cast into a star tv show role!,B,Story B sounds better in terms of context.,B
33f48789-98a9-4d40-b8bc-3f18bfa73d2f,beth dreamed of being a movie star. she auditioned many films and commercials. she decided to audition for a big movie. finally after all her failures beth got a call. she was being cast into a star tv show role!,beth dreamed of being a movie star. she finally decided to move to hollywood. she auditioned many films and commercials. finally after all her failures beth got a call. she was being cast into a star tv show role!,both,Both are good,B
33f48789-98a9-4d40-b8bc-3f18bfa73d2f,beth dreamed of being a movie star. she auditioned many films and commercials. she decided to audition for a big movie. finally after all her failures beth got a call. she was being cast into a star tv show role!,beth dreamed of being a movie star. she finally decided to move to hollywood. she auditioned many films and commercials. finally after all her failures beth got a call. she was being cast into a star tv show role!,B,Only B makes sense as a complete story which is logically arranged.,B
33f48789-98a9-4d40-b8bc-3f18bfa73d2f,beth dreamed of being a movie star. she auditioned many films and commercials. she decided to audition for a big movie. finally after all her failures beth got a call. she was being cast into a star tv show role!,beth dreamed of being a movie star. she finally decided to move to hollywood. she auditioned many films and commercials. finally after all her failures beth got a call. she was being cast into a star tv show role!,both,The both are similar,B
33f48789-98a9-4d40-b8bc-3f18bfa73d2f,beth dreamed of being a movie star. she auditioned many films and commercials. she decided to audition for a big movie. finally after all her failures beth got a call. she was being cast into a star tv show role!,beth dreamed of being a movie star. she finally decided to move to hollywood. she auditioned many films and commercials. finally after all her failures beth got a call. she was being cast into a star tv show role!,B,The sequence of of events in Option B is correct.,B
bbd5c591-8436-4fb1-8091-89928b3453f7,sarah was babysitting her neighbor's kids. they were throwing a tantrum. sarah decided to put on a funny movie. the kids were watching scary movies. the kids were able to calm down and watch the movie.,sarah was babysitting her neighbor's kids. they were throwing a tantrum. sarah decided to put on a funny movie. she put on shrek on the tv. the kids were able to calm down and watch the movie.,B,"B: is better because of the story put on that was funny was Shrek, not as in A, a scary movie, which is not funny",B
bbd5c591-8436-4fb1-8091-89928b3453f7,sarah was babysitting her neighbor's kids. they were throwing a tantrum. sarah decided to put on a funny movie. the kids were watching scary movies. the kids were able to calm down and watch the movie.,sarah was babysitting her neighbor's kids. they were throwing a tantrum. sarah decided to put on a funny movie. she put on shrek on the tv. the kids were able to calm down and watch the movie.,B,Story A contains details that do not make sense.,B
bbd5c591-8436-4fb1-8091-89928b3453f7,sarah was babysitting her neighbor's kids. they were throwing a tantrum. sarah decided to put on a funny movie. the kids were watching scary movies. the kids were able to calm down and watch the movie.,sarah was babysitting her neighbor's kids. they were throwing a tantrum. sarah decided to put on a funny movie. she put on shrek on the tv. the kids were able to calm down and watch the movie.,B,Only B is logical to make a good story.,B
bbd5c591-8436-4fb1-8091-89928b3453f7,sarah was babysitting her neighbor's kids. they were throwing a tantrum. sarah decided to put on a funny movie. the kids were watching scary movies. the kids were able to calm down and watch the movie.,sarah was babysitting her neighbor's kids. they were throwing a tantrum. sarah decided to put on a funny movie. she put on shrek on the tv. the kids were able to calm down and watch the movie.,B,B is Appropriate compared to A because A has irrelevant story lines,B
bbd5c591-8436-4fb1-8091-89928b3453f7,sarah was babysitting her neighbor's kids. they were throwing a tantrum. sarah decided to put on a funny movie. the kids were watching scary movies. the kids were able to calm down and watch the movie.,sarah was babysitting her neighbor's kids. they were throwing a tantrum. sarah decided to put on a funny movie. she put on shrek on the tv. the kids were able to calm down and watch the movie.,B,In my opinion the part about scary movies of story A doesn't make sense so Story B is complete.,B
cf73a0cb-363f-452f-bfd9-e779b0afa8b0,lisa really wanted some new headphones. she couldn't believe how expensive they were though. luckily she found a good deal for bose. lisa ended up buying them. when she put them on her head she loved them.,lisa really wanted some new headphones. she couldn't believe how expensive they were though. she went to the store to get one. lisa ended up buying them. when she put them on her head she loved them.,both,Both options are logical,A
cf73a0cb-363f-452f-bfd9-e779b0afa8b0,lisa really wanted some new headphones. she couldn't believe how expensive they were though. luckily she found a good deal for bose. lisa ended up buying them. when she put them on her head she loved them.,lisa really wanted some new headphones. she couldn't believe how expensive they were though. she went to the store to get one. lisa ended up buying them. when she put them on her head she loved them.,both,Both A and B is perfect and appropriate,A
cf73a0cb-363f-452f-bfd9-e779b0afa8b0,lisa really wanted some new headphones. she couldn't believe how expensive they were though. luckily she found a good deal for bose. lisa ended up buying them. when she put them on her head she loved them.,lisa really wanted some new headphones. she couldn't believe how expensive they were though. she went to the store to get one. lisa ended up buying them. when she put them on her head she loved them.,A,"company name[bose] is given in A, it makes the story more realistic",A
cf73a0cb-363f-452f-bfd9-e779b0afa8b0,lisa really wanted some new headphones. she couldn't believe how expensive they were though. luckily she found a good deal for bose. lisa ended up buying them. when she put them on her head she loved them.,lisa really wanted some new headphones. she couldn't believe how expensive they were though. she went to the store to get one. lisa ended up buying them. when she put them on her head she loved them.,both,Both make sense in terms of context.,A
cf73a0cb-363f-452f-bfd9-e779b0afa8b0,lisa really wanted some new headphones. she couldn't believe how expensive they were though. luckily she found a good deal for bose. lisa ended up buying them. when she put them on her head she loved them.,lisa really wanted some new headphones. she couldn't believe how expensive they were though. she went to the store to get one. lisa ended up buying them. when she put them on her head she loved them.,A,A has more reasons to satisfy the ending of the story. the deal,A
39f6dc78-3746-4acc-a144-4ef2b2f750b3,lisa set out two pumpkins on her front steps. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,lisa's family had just moved to a new country. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,A,Story A provides better version of how lisa spent her day  as compared to Story B which is more confusing.,A
39f6dc78-3746-4acc-a144-4ef2b2f750b3,lisa set out two pumpkins on her front steps. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,lisa's family had just moved to a new country. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,both,Both make sense in terms of context.,A
39f6dc78-3746-4acc-a144-4ef2b2f750b3,lisa set out two pumpkins on her front steps. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,lisa's family had just moved to a new country. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,A,The detail of putting out pumpkins on front steps makes more sense than moving to a new country,A
39f6dc78-3746-4acc-a144-4ef2b2f750b3,lisa set out two pumpkins on her front steps. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,lisa's family had just moved to a new country. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,A,Only A is logically arranged to make a story.,A
39f6dc78-3746-4acc-a144-4ef2b2f750b3,lisa set out two pumpkins on her front steps. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,lisa's family had just moved to a new country. she went to work and returned home seven hours later. lisa found the pumpkins destroyed on the front lawn. lisa then reviewed the home's video security footage. the video footage shows squirrels eating the two pumpkins.,A,"I think A as a complete story makes more sense as it is more focused on Lisa. In B, it is not clear what the family of Lisa had to do with the story, which feels incomplete",A
625f504d-eb26-43e0-abc7-20f7c88e70a2,"nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. she decided to go to the library to check out a book. soon, nell was lost in the plot of the book. when nell finished her story, she found she was far from home.","nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. soon, nell was lost in the plot of the book. she didn't hear the engine start or notice the book mobile moving. when nell finished her story, she found she was far from home.",both,Both A and B is Appropriate,B
625f504d-eb26-43e0-abc7-20f7c88e70a2,"nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. she decided to go to the library to check out a book. soon, nell was lost in the plot of the book. when nell finished her story, she found she was far from home.","nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. soon, nell was lost in the plot of the book. she didn't hear the engine start or notice the book mobile moving. when nell finished her story, she found she was far from home.",B,Makes more sense in terms of context.,B
625f504d-eb26-43e0-abc7-20f7c88e70a2,"nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. she decided to go to the library to check out a book. soon, nell was lost in the plot of the book. when nell finished her story, she found she was far from home.","nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. soon, nell was lost in the plot of the book. she didn't hear the engine start or notice the book mobile moving. when nell finished her story, she found she was far from home.",B,"It doesn't make sense in ""A"" that Nell left a library to go to the library.",B
625f504d-eb26-43e0-abc7-20f7c88e70a2,"nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. she decided to go to the library to check out a book. soon, nell was lost in the plot of the book. when nell finished her story, she found she was far from home.","nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. soon, nell was lost in the plot of the book. she didn't hear the engine start or notice the book mobile moving. when nell finished her story, she found she was far from home.",B,"Story B has all the details to make for a complete story, while story A has a redundancy about going into the library which isn't needed.",B
625f504d-eb26-43e0-abc7-20f7c88e70a2,"nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. she decided to go to the library to check out a book. soon, nell was lost in the plot of the book. when nell finished her story, she found she was far from home.","nell looked forward to a visit from the book mobile. she found a cozy spot to read in the back of the mobile library. soon, nell was lost in the plot of the book. she didn't hear the engine start or notice the book mobile moving. when nell finished her story, she found she was far from home.",neither,None of them makes sense,B
e16d7c0a-b48d-456a-ab7a-8db0cbb58f77,amy was playing hide and seek with her daughter. she hid first. she was having fun until she realized she was lost. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,amy was playing hide and seek with her daughter. she hid first. her daughter found her quickly. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,B,B make sense and is logically arranged.,B
e16d7c0a-b48d-456a-ab7a-8db0cbb58f77,amy was playing hide and seek with her daughter. she hid first. she was having fun until she realized she was lost. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,amy was playing hide and seek with her daughter. she hid first. her daughter found her quickly. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,B,B: more logical sequence of events.,B
e16d7c0a-b48d-456a-ab7a-8db0cbb58f77,amy was playing hide and seek with her daughter. she hid first. she was having fun until she realized she was lost. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,amy was playing hide and seek with her daughter. she hid first. her daughter found her quickly. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,B,Story B makes more sense given the context.,B
e16d7c0a-b48d-456a-ab7a-8db0cbb58f77,amy was playing hide and seek with her daughter. she hid first. she was having fun until she realized she was lost. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,amy was playing hide and seek with her daughter. she hid first. her daughter found her quickly. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,both,Both are fine for me,B
e16d7c0a-b48d-456a-ab7a-8db0cbb58f77,amy was playing hide and seek with her daughter. she hid first. she was having fun until she realized she was lost. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,amy was playing hide and seek with her daughter. she hid first. her daughter found her quickly. but then she couldn't find her hiding daughter anywhere! amy had to admit that she had lost the game!,B,For the next round daughter hided and it shows the continuity.,B
baa1462a-e3c2-40a2-95f0-debd2cfc26f4,nancy wanted to get a new stereo. she went to the local electronics store. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,nancy wanted to get a new stereo. she went to the store and compared options. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,A,I chose A because specific in which store nancy searched,B
baa1462a-e3c2-40a2-95f0-debd2cfc26f4,nancy wanted to get a new stereo. she went to the local electronics store. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,nancy wanted to get a new stereo. she went to the store and compared options. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,A,"Story ""B"" is repetitive and makes it sound like Nancy compared prices multiple times.",B
baa1462a-e3c2-40a2-95f0-debd2cfc26f4,nancy wanted to get a new stereo. she went to the local electronics store. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,nancy wanted to get a new stereo. she went to the store and compared options. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,both,Both are good,B
baa1462a-e3c2-40a2-95f0-debd2cfc26f4,nancy wanted to get a new stereo. she went to the local electronics store. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,nancy wanted to get a new stereo. she went to the store and compared options. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,both,Both A and B make sense.,B
baa1462a-e3c2-40a2-95f0-debd2cfc26f4,nancy wanted to get a new stereo. she went to the local electronics store. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,nancy wanted to get a new stereo. she went to the store and compared options. she decided on one but chose to compare prices. nancy found a better price for her stereo and went to that store. she purchased her new stereo at a cheaper price and was happy!,A,Option B is repetitive.,B
3013151e-e87e-41b4-8727-b155d8390f21,"lucy spent the day at disneyland. she had worn a new pair of boots. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.","lucy spent the day at disneyland. she was very excited to go on it. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.",A,A has good content and is logically arranged.,A
3013151e-e87e-41b4-8727-b155d8390f21,"lucy spent the day at disneyland. she had worn a new pair of boots. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.","lucy spent the day at disneyland. she was very excited to go on it. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.",A,The cause for a feet pain is known to the reader.,A
3013151e-e87e-41b4-8727-b155d8390f21,"lucy spent the day at disneyland. she had worn a new pair of boots. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.","lucy spent the day at disneyland. she was very excited to go on it. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.",A,wearing new shoes fit better with the story to go to disney land,A
3013151e-e87e-41b4-8727-b155d8390f21,"lucy spent the day at disneyland. she had worn a new pair of boots. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.","lucy spent the day at disneyland. she was very excited to go on it. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.",A,"""B"" is unclear about what Lucy will be going on.",A
3013151e-e87e-41b4-8727-b155d8390f21,"lucy spent the day at disneyland. she had worn a new pair of boots. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.","lucy spent the day at disneyland. she was very excited to go on it. by the end of the day, her feet were killing her. the next day, she decided to wear better shoes. luckily, her feet hurt less that day.",A,Story A flows better.,A
