input,pred_missing_id (0_indexed),generated_sentence,pred_story,gt_missing_id (0_indexed),gt_sentence,gt_story,questionid,A,B,GT,Generated,amt_answers
"she tried to stop many times. but always, she found herself gnawing them unconsciously! then she tried a foul-tasting nail paint. the bad taste served as a very effective deterrent.",0,jane had a bad habit of biting her nails.,"jane had a bad habit of biting her nails. she tried to stop many times. but always, she found herself gnawing them unconsciously! then she tried a foul-tasting nail paint. the bad taste served as a very effective deterrent.",0,Anna hated biting her nails.,"anna hated biting her nails. she tried to stop many times. but always, she found herself gnawing them unconsciously! then she tried a foul-tasting nail paint. the bad taste served as a very effective deterrent.",09d3379e-145d-41b4-bfbd-7b8c0e17a0f0,"jane had a bad habit of biting her nails. she tried to stop many times. but always, she found herself gnawing them unconsciously! then she tried a foul-tasting nail paint. the bad taste served as a very effective deterrent.","anna hated biting her nails. she tried to stop many times. but always, she found herself gnawing them unconsciously! then she tried a foul-tasting nail paint. the bad taste served as a very effective deterrent.",B,A,both A both both both
"hank cried as i tied him to the rails. he called me stupid and some rather profane names. i listened as he sneered that the line had been abandoned for years. i started to walk away, but paused to look back at hank.",4,i was sitting at the porch watching the clouds.,"hank cried as i tied him to the rails. he called me stupid and some rather profane names. i listened as he sneered that the line had been abandoned for years. i started to walk away, but paused to look back at hank. i was sitting at the porch watching the clouds.",4,"I informed him that of course I knew, no one comes here, at all.","hank cried as i tied him to the rails. he called me stupid and some rather profane names. i listened as he sneered that the line had been abandoned for years. i started to walk away, but paused to look back at hank. i informed him that of course i knew, no one comes here, at all.",c6056a62-62ad-4045-9e94-326436628be2,"hank cried as i tied him to the rails. he called me stupid and some rather profane names. i listened as he sneered that the line had been abandoned for years. i started to walk away, but paused to look back at hank. i was sitting at the porch watching the clouds.","hank cried as i tied him to the rails. he called me stupid and some rather profane names. i listened as he sneered that the line had been abandoned for years. i started to walk away, but paused to look back at hank. i informed him that of course i knew, no one comes here, at all.",B,A,B B B both both
"gina and her friend lisa were downtown. gina decided to see if they a cd she wanted but couldn't find. the cd wasn't in yet, but they had the single of the song she liked. she purchased the single with the intent to return and buy the album.",1,she was looking through her wallet when she saw a song she liked.,"gina and her friend lisa were downtown. she was looking through her wallet when she saw a song she liked. gina decided to see if they a cd she wanted but couldn't find. the cd wasn't in yet, but they had the single of the song she liked. she purchased the single with the intent to return and buy the album.",1,They were heading home when the passed the music store.,"gina and her friend lisa were downtown. they were heading home when the passed the music store. gina decided to see if they a cd she wanted but couldn't find. the cd wasn't in yet, but they had the single of the song she liked. she purchased the single with the intent to return and buy the album.",7a62069b-6ec3-4adf-a7a5-ea2429b12c57,"gina and her friend lisa were downtown. she was looking through her wallet when she saw a song she liked. gina decided to see if they a cd she wanted but couldn't find. the cd wasn't in yet, but they had the single of the song she liked. she purchased the single with the intent to return and buy the album.","gina and her friend lisa were downtown. they were heading home when the passed the music store. gina decided to see if they a cd she wanted but couldn't find. the cd wasn't in yet, but they had the single of the song she liked. she purchased the single with the intent to return and buy the album.",B,A,B B both B B
betty and adam went to the donut store where they made them fresh. they had just been covered in a sugary glaze. they were still warm when the worker boxed them up. they each had one in the store before they took the rest home.,2,they were all so busy!,betty and adam went to the donut store where they made them fresh. they had just been covered in a sugary glaze. they were all so busy! they were still warm when the worker boxed them up. they each had one in the store before they took the rest home.,1,They got there just as a batch was coming off the conveyer belt.,betty and adam went to the donut store where they made them fresh. they got there just as a batch was coming off the conveyer belt. they had just been covered in a sugary glaze. they were still warm when the worker boxed them up. they each had one in the store before they took the rest home.,eddc1e38-18f7-4b76-ad7e-115dc6469f97,betty and adam went to the donut store where they made them fresh. they got there just as a batch was coming off the conveyer belt. they had just been covered in a sugary glaze. they were still warm when the worker boxed them up. they each had one in the store before they took the rest home.,betty and adam went to the donut store where they made them fresh. they had just been covered in a sugary glaze. they were all so busy! they were still warm when the worker boxed them up. they each had one in the store before they took the rest home.,A,B,A A A A A
"jimmy wanted to go to the playground. when he got there, he went down the big slide three times. after a few sand sculptures, he played on the swings. he got tired after an hour and ran home to take a nap.",1,he went to the playground and played games.,"jimmy wanted to go to the playground. he went to the playground and played games. when he got there, he went down the big slide three times. after a few sand sculptures, he played on the swings. he got tired after an hour and ran home to take a nap.",2,He saw some friends in the sandbox and joined them.,"jimmy wanted to go to the playground. when he got there, he went down the big slide three times. he saw some friends in the sandbox and joined them. after a few sand sculptures, he played on the swings. he got tired after an hour and ran home to take a nap.",8337e8e3-f4f6-4b8e-ba96-bea9cef73ae8,"jimmy wanted to go to the playground. when he got there, he went down the big slide three times. he saw some friends in the sandbox and joined them. after a few sand sculptures, he played on the swings. he got tired after an hour and ran home to take a nap.","jimmy wanted to go to the playground. he went to the playground and played games. when he got there, he went down the big slide three times. after a few sand sculptures, he played on the swings. he got tired after an hour and ran home to take a nap.",A,B,both both A A both
"martin was studying very hard to become a priest. as he had no intention to fall in love, it worked well for him. but one day, while he walked down the street, a woman was crying. and he knew he was in love when their eyes met.",4,"he was so mad, he broke his heart to ask her out.","martin was studying very hard to become a priest. as he had no intention to fall in love, it worked well for him. but one day, while he walked down the street, a woman was crying. and he knew he was in love when their eyes met. he was so mad, he broke his heart to ask her out.",3,"Full of empathy, he went to console her.","martin was studying very hard to become a priest. as he had no intention to fall in love, it worked well for him. but one day, while he walked down the street, a woman was crying. full of empathy, he went to console her. and he knew he was in love when their eyes met.",16da459b-2436-4158-955b-4b2a9b4ff564,"martin was studying very hard to become a priest. as he had no intention to fall in love, it worked well for him. but one day, while he walked down the street, a woman was crying. full of empathy, he went to console her. and he knew he was in love when their eyes met.","martin was studying very hard to become a priest. as he had no intention to fall in love, it worked well for him. but one day, while he walked down the street, a woman was crying. and he knew he was in love when their eyes met. he was so mad, he broke his heart to ask her out.",A,B,A A A both A
"while walking in his yard, saul saw something. he looked to see what it was. he ran and got his mom. mom came and killed the snake.",2,he saw a snake.,"while walking in his yard, saul saw something. he looked to see what it was. he saw a snake. he ran and got his mom. mom came and killed the snake.",2,He saw a big black snake beside the rock.,"while walking in his yard, saul saw something. he looked to see what it was. he saw a big black snake beside the rock. he ran and got his mom. mom came and killed the snake.",d77b5d6d-0873-45cd-90e1-1d9763a3346c,"while walking in his yard, saul saw something. he looked to see what it was. he saw a big black snake beside the rock. he ran and got his mom. mom came and killed the snake.","while walking in his yard, saul saw something. he looked to see what it was. he saw a snake. he ran and got his mom. mom came and killed the snake.",A,B,both A both both both
tom was at a local park. there was an egg hunt for the kids. tom decided to pick some eggs up. he enjoyed the treats in them.,3,tom was able to get many eggs.,tom was at a local park. there was an egg hunt for the kids. tom decided to pick some eggs up. tom was able to get many eggs. he enjoyed the treats in them.,1,It was Easter.,tom was at a local park. it was easter. there was an egg hunt for the kids. tom decided to pick some eggs up. he enjoyed the treats in them.,e0ccf077-f514-43c7-a46f-5ba607eb15e6,tom was at a local park. it was easter. there was an egg hunt for the kids. tom decided to pick some eggs up. he enjoyed the treats in them.,tom was at a local park. there was an egg hunt for the kids. tom decided to pick some eggs up. tom was able to get many eggs. he enjoyed the treats in them.,A,B,both B both B both
turk doesn't like to drink water. the taste is too plain for him. he tries adding lemon to his water. now is water tastes great.,4,he is happy that he no longer wants to drink water.,turk doesn't like to drink water. the taste is too plain for him. he tries adding lemon to his water. now is water tastes great. he is happy that he no longer wants to drink water.,2,"Since he's trying to be healthier, he has to drink more water.","turk doesn't like to drink water. the taste is too plain for him. since he's trying to be healthier, he has to drink more water. he tries adding lemon to his water. now is water tastes great.",c557e713-e5e6-4fc2-aeac-edb473029585,"turk doesn't like to drink water. the taste is too plain for him. since he's trying to be healthier, he has to drink more water. he tries adding lemon to his water. now is water tastes great.",turk doesn't like to drink water. the taste is too plain for him. he tries adding lemon to his water. now is water tastes great. he is happy that he no longer wants to drink water.,A,B,neither A A A B
tonya and lisa were sound asleep when their parents came home. their mom woke them up to tell them they had bought a boat. the girls excitedly ran to the window to see the new boat. as dad was tucking them in he told them mom had had too much to drink.,4,they were going to the beach in san francisco.,tonya and lisa were sound asleep when their parents came home. their mom woke them up to tell them they had bought a boat. the girls excitedly ran to the window to see the new boat. as dad was tucking them in he told them mom had had too much to drink. they were going to the beach in san francisco.,0,Tonya and Lisa's parents hired a babysitter and went out on a date.,tonya and lisa's parents hired a babysitter and went out on a date. tonya and lisa were sound asleep when their parents came home. their mom woke them up to tell them they had bought a boat. the girls excitedly ran to the window to see the new boat. as dad was tucking them in he told them mom had had too much to drink.,6f3aa012-4bef-4325-8bb8-03736a1a24e9,tonya and lisa were sound asleep when their parents came home. their mom woke them up to tell them they had bought a boat. the girls excitedly ran to the window to see the new boat. as dad was tucking them in he told them mom had had too much to drink. they were going to the beach in san francisco.,tonya and lisa's parents hired a babysitter and went out on a date. tonya and lisa were sound asleep when their parents came home. their mom woke them up to tell them they had bought a boat. the girls excitedly ran to the window to see the new boat. as dad was tucking them in he told them mom had had too much to drink.,B,A,both B B B B
"simon was never really good at math. he wanted to get better. simon practiced in his free time, almost everyday. he eventually was better in math.",4,he was able to improve his math grades.,"simon was never really good at math. he wanted to get better. simon practiced in his free time, almost everyday. he eventually was better in math. he was able to improve his math grades.",2,His teacher told him to practice.,"simon was never really good at math. he wanted to get better. his teacher told him to practice. simon practiced in his free time, almost everyday. he eventually was better in math.",c395a48f-4cce-4934-957d-0727843de9e7,"simon was never really good at math. he wanted to get better. his teacher told him to practice. simon practiced in his free time, almost everyday. he eventually was better in math.","simon was never really good at math. he wanted to get better. simon practiced in his free time, almost everyday. he eventually was better in math. he was able to improve his math grades.",A,B,both B B A both
jeff was good to it everyday. one day while jeff went out to feed his dog. he seen his dog laying on the ground. he went over to check to see and his dog was dead.,4,david was very sad and sad.,jeff was good to it everyday. one day while jeff went out to feed his dog. he seen his dog laying on the ground. he went over to check to see and his dog was dead. david was very sad and sad.,0,Jeff had a dog for a long time.,jeff had a dog for a long time. jeff was good to it everyday. one day while jeff went out to feed his dog. he seen his dog laying on the ground. he went over to check to see and his dog was dead.,4821a5c2-befb-47f9-9df8-baafcdad2d8d,jeff had a dog for a long time. jeff was good to it everyday. one day while jeff went out to feed his dog. he seen his dog laying on the ground. he went over to check to see and his dog was dead.,jeff was good to it everyday. one day while jeff went out to feed his dog. he seen his dog laying on the ground. he went over to check to see and his dog was dead. david was very sad and sad.,A,B,A A A A A
"my mom placed several decorations and banners across the house. most of them were connected together. they spent time with each other while relaxing. all of a sudden, all of the decorations collapsed.",3,i decided to have a christmas party.,"my mom placed several decorations and banners across the house. most of them were connected together. they spent time with each other while relaxing. i decided to have a christmas party. all of a sudden, all of the decorations collapsed.",2,"Later the day, our guests came into the house.","my mom placed several decorations and banners across the house. most of them were connected together. later the day, our guests came into the house. they spent time with each other while relaxing. all of a sudden, all of the decorations collapsed.",426a9289-f6ad-44f3-9590-cdb463aea534,"my mom placed several decorations and banners across the house. most of them were connected together. they spent time with each other while relaxing. i decided to have a christmas party. all of a sudden, all of the decorations collapsed.","my mom placed several decorations and banners across the house. most of them were connected together. later the day, our guests came into the house. they spent time with each other while relaxing. all of a sudden, all of the decorations collapsed.",B,A,B B B B B
"if they were open, the air conditioning bill would be too high. the man noticed a bedroom shutter open and closed it. the woman had the same experience and wondered about her husband. then they both saw their cat opening the shutter to look out.",0,the man put on his robe.,"the man put on his robe. if they were open, the air conditioning bill would be too high. the man noticed a bedroom shutter open and closed it. the woman had the same experience and wondered about her husband. then they both saw their cat opening the shutter to look out.",0,The Browns live in Phoenix and keep their shutters closed.,"the browns live in phoenix and keep their shutters closed. if they were open, the air conditioning bill would be too high. the man noticed a bedroom shutter open and closed it. the woman had the same experience and wondered about her husband. then they both saw their cat opening the shutter to look out.",75faebc8-025b-409b-b656-c4aaf5878eab,"the browns live in phoenix and keep their shutters closed. if they were open, the air conditioning bill would be too high. the man noticed a bedroom shutter open and closed it. the woman had the same experience and wondered about her husband. then they both saw their cat opening the shutter to look out.","the man put on his robe. if they were open, the air conditioning bill would be too high. the man noticed a bedroom shutter open and closed it. the woman had the same experience and wondered about her husband. then they both saw their cat opening the shutter to look out.",A,B,A A both A A
"after years of trying for a child, the doctors called me infertile. family comforted me with thoughts of pets or adoption. on the 1st we are going to an adoption agency. after our appointment a new baby will be welcomed into the family.",1,we decided to adopt a cat.,"after years of trying for a child, the doctors called me infertile. we decided to adopt a cat. family comforted me with thoughts of pets or adoption. on the 1st we are going to an adoption agency. after our appointment a new baby will be welcomed into the family.",2,I had never considered adoption before now.,"after years of trying for a child, the doctors called me infertile. family comforted me with thoughts of pets or adoption. i had never considered adoption before now. on the 1st we are going to an adoption agency. after our appointment a new baby will be welcomed into the family.",6651db0e-2a52-4204-aac3-c6553ee83965,"after years of trying for a child, the doctors called me infertile. we decided to adopt a cat. family comforted me with thoughts of pets or adoption. on the 1st we are going to an adoption agency. after our appointment a new baby will be welcomed into the family.","after years of trying for a child, the doctors called me infertile. family comforted me with thoughts of pets or adoption. i had never considered adoption before now. on the 1st we are going to an adoption agency. after our appointment a new baby will be welcomed into the family.",B,A,B B B B B
sara arrived to work at macy's and put her coat in the back room. she wanted to go outside for break so she went to grab her coat. to her surprise her coat was gone. sara informed management her coat was taken from her area.,4,she was able to retrieve her coat after a few hours.,sara arrived to work at macy's and put her coat in the back room. she wanted to go outside for break so she went to grab her coat. to her surprise her coat was gone. sara informed management her coat was taken from her area. she was able to retrieve her coat after a few hours.,4,When her coat wasn't found they offered to replace it for her.,sara arrived to work at macy's and put her coat in the back room. she wanted to go outside for break so she went to grab her coat. to her surprise her coat was gone. sara informed management her coat was taken from her area. when her coat wasn't found they offered to replace it for her.,30c2307a-936c-4b50-b68c-30207fce3d3d,sara arrived to work at macy's and put her coat in the back room. she wanted to go outside for break so she went to grab her coat. to her surprise her coat was gone. sara informed management her coat was taken from her area. when her coat wasn't found they offered to replace it for her.,sara arrived to work at macy's and put her coat in the back room. she wanted to go outside for break so she went to grab her coat. to her surprise her coat was gone. sara informed management her coat was taken from her area. she was able to retrieve her coat after a few hours.,A,B,both A both both both
maggie heard a chirping sound. there were crickets in her garage. she didn't want to touch a cricket! maggie covered up and made a run for it.,4,she looked up and saw a nest of bee seeds.,maggie heard a chirping sound. there were crickets in her garage. she didn't want to touch a cricket! maggie covered up and made a run for it. she looked up and saw a nest of bee seeds.,2,She needed to get something out of the garage but was scared.,maggie heard a chirping sound. there were crickets in her garage. she needed to get something out of the garage but was scared. she didn't want to touch a cricket! maggie covered up and made a run for it.,76e579f9-c388-410d-99f8-e091d858553b,maggie heard a chirping sound. there were crickets in her garage. she didn't want to touch a cricket! maggie covered up and made a run for it. she looked up and saw a nest of bee seeds.,maggie heard a chirping sound. there were crickets in her garage. she needed to get something out of the garage but was scared. she didn't want to touch a cricket! maggie covered up and made a run for it.,B,A,B B both B B
"kate loved her new jeans. they were destructed in the right places. however, when she got to school, she was given detention. kate forgot that they were against the dress code.",1,she was excited to wear them to school.,"kate loved her new jeans. she was excited to wear them to school. they were destructed in the right places. however, when she got to school, she was given detention. kate forgot that they were against the dress code.",2,She decided to wear them to school.,"kate loved her new jeans. they were destructed in the right places. she decided to wear them to school. however, when she got to school, she was given detention. kate forgot that they were against the dress code.",a0ceacc1-af1b-4bdb-9a58-2aff17b387e8,"kate loved her new jeans. she was excited to wear them to school. they were destructed in the right places. however, when she got to school, she was given detention. kate forgot that they were against the dress code.","kate loved her new jeans. they were destructed in the right places. she decided to wear them to school. however, when she got to school, she was given detention. kate forgot that they were against the dress code.",B,A,both both A B both
"i was playing tennis one day. i was doing very well and scoring a lot. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon.",4,i had to go to the hospital to be treated for pain.,"i was playing tennis one day. i was doing very well and scoring a lot. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon. i had to go to the hospital to be treated for pain.",2,I jumped up and swung my arm hard.,"i was playing tennis one day. i was doing very well and scoring a lot. i jumped up and swung my arm hard. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon.",ff7a61b9-8848-4069-b532-3c6630e09f54,"i was playing tennis one day. i was doing very well and scoring a lot. i jumped up and swung my arm hard. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon.","i was playing tennis one day. i was doing very well and scoring a lot. suddenly, i felt a lot of pain in my wrist. it turned out i swung my arm too hard and tore a tendon. i had to go to the hospital to be treated for pain.",A,B,both both B B both
tom was at a party. he asked for a mixed drink. it was really strong. tom didn't want to seem weak.,4,tom didn't care and went home.,tom was at a party. he asked for a mixed drink. it was really strong. tom didn't want to seem weak. tom didn't care and went home.,4,He drank it too fast and got drunk.,tom was at a party. he asked for a mixed drink. it was really strong. tom didn't want to seem weak. he drank it too fast and got drunk.,521e2dd2-b8fe-4c79-bbcf-faa2e0def3d9,tom was at a party. he asked for a mixed drink. it was really strong. tom didn't want to seem weak. he drank it too fast and got drunk.,tom was at a party. he asked for a mixed drink. it was really strong. tom didn't want to seem weak. tom didn't care and went home.,A,B,A A A A A
she called her husband. he said he would get food. he stopped at wendy's. amber was mad because she hates their food.,0,danny was going to a party.,danny was going to a party. she called her husband. he said he would get food. he stopped at wendy's. amber was mad because she hates their food.,0,Amber was really hungry.,amber was really hungry. she called her husband. he said he would get food. he stopped at wendy's. amber was mad because she hates their food.,5c0918b8-6262-4b92-9ac5-2bb43fae8864,danny was going to a party. she called her husband. he said he would get food. he stopped at wendy's. amber was mad because she hates their food.,amber was really hungry. she called her husband. he said he would get food. he stopped at wendy's. amber was mad because she hates their food.,B,A,B B B B B
priscilla has been looking for ways to express herself artistically. she decides to buy some drawing materials for her home. the first thing she draws is a beautiful orchid. priscilla is proud of how her drawing comes out.,3,she is very happy with her new tattoo.,priscilla has been looking for ways to express herself artistically. she decides to buy some drawing materials for her home. the first thing she draws is a beautiful orchid. she is very happy with her new tattoo. priscilla is proud of how her drawing comes out.,4,She is satisfied that she found a way to be more artistic.,priscilla has been looking for ways to express herself artistically. she decides to buy some drawing materials for her home. the first thing she draws is a beautiful orchid. priscilla is proud of how her drawing comes out. she is satisfied that she found a way to be more artistic.,565232f2-bcfc-4a58-bcbf-f8d58f6706d7,priscilla has been looking for ways to express herself artistically. she decides to buy some drawing materials for her home. the first thing she draws is a beautiful orchid. she is very happy with her new tattoo. priscilla is proud of how her drawing comes out.,priscilla has been looking for ways to express herself artistically. she decides to buy some drawing materials for her home. the first thing she draws is a beautiful orchid. priscilla is proud of how her drawing comes out. she is satisfied that she found a way to be more artistic.,B,A,B B both B B
nikki got dumped by her boyfriend. she feels horrible and very sad. her friend set her up with a very cute guy friend. the cute guy totally helped distract nikki.,4,she was so happy and thankful!,nikki got dumped by her boyfriend. she feels horrible and very sad. her friend set her up with a very cute guy friend. the cute guy totally helped distract nikki. she was so happy and thankful!,2,She doesn't know what to do with her life.,nikki got dumped by her boyfriend. she feels horrible and very sad. she doesn't know what to do with her life. her friend set her up with a very cute guy friend. the cute guy totally helped distract nikki.,a7654d9a-eadc-4a73-b875-cb2115da3407,nikki got dumped by her boyfriend. she feels horrible and very sad. her friend set her up with a very cute guy friend. the cute guy totally helped distract nikki. she was so happy and thankful!,nikki got dumped by her boyfriend. she feels horrible and very sad. she doesn't know what to do with her life. her friend set her up with a very cute guy friend. the cute guy totally helped distract nikki.,B,A,both B B both both
sara was obsessed with a new video game on her phone. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,1,she was so sad that she had to leave the game.,sara was obsessed with a new video game on her phone. she was so sad that she had to leave the game. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,1,She would walk around outside while playing it all the time.,sara was obsessed with a new video game on her phone. she would walk around outside while playing it all the time. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,4025c027-2c13-433b-b8a5-d6c696da6fff,sara was obsessed with a new video game on her phone. she was so sad that she had to leave the game. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,sara was obsessed with a new video game on her phone. she would walk around outside while playing it all the time. one day she was so distracted that she walked into oncoming traffic. she broke several bones and was in pain for months before they healed. she made sure to stay aware of her surroundings after that.,B,A,B both B B B
a new thrift store opened up in town. i drove the the shop and went in. i looked over the items in the store. i found a few cool items and purchased them.,4,i bought the items.,a new thrift store opened up in town. i drove the the shop and went in. i looked over the items in the store. i found a few cool items and purchased them. i bought the items.,1,I wanted to visit to see what they had.,a new thrift store opened up in town. i wanted to visit to see what they had. i drove the the shop and went in. i looked over the items in the store. i found a few cool items and purchased them.,840de0bb-d9b3-4bed-9ed1-c0a37eee20e1,a new thrift store opened up in town. i wanted to visit to see what they had. i drove the the shop and went in. i looked over the items in the store. i found a few cool items and purchased them.,a new thrift store opened up in town. i drove the the shop and went in. i looked over the items in the store. i found a few cool items and purchased them. i bought the items.,A,B,A A both A A
"darcy was visiting a diner during a vacation. darcy decided to try the sauce, preparing herself mentally. when she ate it it didn't seem so bad, until it began to burn. the burn lasted so long that she cried but she did win her challenge.",1,she was making a burger and decided to order it.,"darcy was visiting a diner during a vacation. she was making a burger and decided to order it. darcy decided to try the sauce, preparing herself mentally. when she ate it it didn't seem so bad, until it began to burn. the burn lasted so long that she cried but she did win her challenge.",1,They boasted the world's hottest sauce and dared patrons to try.,"darcy was visiting a diner during a vacation. they boasted the world's hottest sauce and dared patrons to try. darcy decided to try the sauce, preparing herself mentally. when she ate it it didn't seem so bad, until it began to burn. the burn lasted so long that she cried but she did win her challenge.",df1ee650-522a-414c-817b-0347c5145c2b,"darcy was visiting a diner during a vacation. they boasted the world's hottest sauce and dared patrons to try. darcy decided to try the sauce, preparing herself mentally. when she ate it it didn't seem so bad, until it began to burn. the burn lasted so long that she cried but she did win her challenge.","darcy was visiting a diner during a vacation. she was making a burger and decided to order it. darcy decided to try the sauce, preparing herself mentally. when she ate it it didn't seem so bad, until it began to burn. the burn lasted so long that she cried but she did win her challenge.",A,B,A A both A A
"frank had a hard time keeping up with his socks. every time he did laundry, he would lose some socks. frank went to the store to buy more socks. the next time frank did laundry, some of the new socks were lost.",4,he was able to get rid of the socks without any further reusable.,"frank had a hard time keeping up with his socks. every time he did laundry, he would lose some socks. frank went to the store to buy more socks. the next time frank did laundry, some of the new socks were lost. he was able to get rid of the socks without any further reusable.",4,Frank learned to be content wearing mismatched socks.,"frank had a hard time keeping up with his socks. every time he did laundry, he would lose some socks. frank went to the store to buy more socks. the next time frank did laundry, some of the new socks were lost. frank learned to be content wearing mismatched socks.",2817ff71-5f96-4f71-a741-c05d73124be9,"frank had a hard time keeping up with his socks. every time he did laundry, he would lose some socks. frank went to the store to buy more socks. the next time frank did laundry, some of the new socks were lost. frank learned to be content wearing mismatched socks.","frank had a hard time keeping up with his socks. every time he did laundry, he would lose some socks. frank went to the store to buy more socks. the next time frank did laundry, some of the new socks were lost. he was able to get rid of the socks without any further reusable.",A,B,A A A A A
jordyn was trying to improve her soccer skills. she did not think she would make the team but she did. the team did very well in the season. they won the region and made it to north american finals.,2,she was very good at hitting and throwing.,jordyn was trying to improve her soccer skills. she did not think she would make the team but she did. she was very good at hitting and throwing. the team did very well in the season. they won the region and made it to north american finals.,1,She decided to try out for an advanced summer team.,jordyn was trying to improve her soccer skills. she decided to try out for an advanced summer team. she did not think she would make the team but she did. the team did very well in the season. they won the region and made it to north american finals.,cd8f3a9b-0da3-4a6b-817b-a8d863cf103a,jordyn was trying to improve her soccer skills. she did not think she would make the team but she did. she was very good at hitting and throwing. the team did very well in the season. they won the region and made it to north american finals.,jordyn was trying to improve her soccer skills. she decided to try out for an advanced summer team. she did not think she would make the team but she did. the team did very well in the season. they won the region and made it to north american finals.,B,A,B B B both B
susan was a special education teacher who did not like to call in sick her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,1,she was so tired she could barely stand.,susan was a special education teacher who did not like to call in sick she was so tired she could barely stand. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,1,When she got such last time she didn't go to the doctor.,susan was a special education teacher who did not like to call in sick when she got such last time she didn't go to the doctor. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,71a5ad02-ce77-441a-9ad1-d6ca24403447,susan was a special education teacher who did not like to call in sick she was so tired she could barely stand. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,susan was a special education teacher who did not like to call in sick when she got such last time she didn't go to the doctor. her daughter had to force her into the car to go the the er. she had to stay for several days. she figured out missing one day of work to see the doctor isn't bad.,B,A,A B B neither neither
molly was doing some chores saturday. it was spotless and ready to be mopped. all of a sudden her little brothers burst in and made a big mess. she had to start all over again.,1,she was making crafts for her kids.,molly was doing some chores saturday. she was making crafts for her kids. it was spotless and ready to be mopped. all of a sudden her little brothers burst in and made a big mess. she had to start all over again.,1,She spent most of her time meticulously sweeping the living room.,molly was doing some chores saturday. she spent most of her time meticulously sweeping the living room. it was spotless and ready to be mopped. all of a sudden her little brothers burst in and made a big mess. she had to start all over again.,4fbe849c-61bd-4562-9120-65fc2147dd64,molly was doing some chores saturday. she spent most of her time meticulously sweeping the living room. it was spotless and ready to be mopped. all of a sudden her little brothers burst in and made a big mess. she had to start all over again.,molly was doing some chores saturday. she was making crafts for her kids. it was spotless and ready to be mopped. all of a sudden her little brothers burst in and made a big mess. she had to start all over again.,A,B,A A A A A
"in 1993, our four year old was playing near the pool. his four year old friend was looking at the bushes. he picked up a garter snake and put it on the pool floor. we had fun looking at it, and released it.",2,he was so proud of his froggy swimming pool!,"in 1993, our four year old was playing near the pool. his four year old friend was looking at the bushes. he was so proud of his froggy swimming pool! he picked up a garter snake and put it on the pool floor. we had fun looking at it, and released it.",4,The snake catcher became a state trooper.,"in 1993, our four year old was playing near the pool. his four year old friend was looking at the bushes. he picked up a garter snake and put it on the pool floor. we had fun looking at it, and released it. the snake catcher became a state trooper.",67561b92-f177-44aa-8bb9-c6e6379bac1e,"in 1993, our four year old was playing near the pool. his four year old friend was looking at the bushes. he picked up a garter snake and put it on the pool floor. we had fun looking at it, and released it. the snake catcher became a state trooper.","in 1993, our four year old was playing near the pool. his four year old friend was looking at the bushes. he was so proud of his froggy swimming pool! he picked up a garter snake and put it on the pool floor. we had fun looking at it, and released it.",A,B,B B neither A B
jim had never been overseas. he always wanted to visit paris. he finally got the chance to on his wedding night. he returned there often.,3,he was very happy.,jim had never been overseas. he always wanted to visit paris. he finally got the chance to on his wedding night. he was very happy. he returned there often.,3,He spent more time on the city than his wife.,jim had never been overseas. he always wanted to visit paris. he finally got the chance to on his wedding night. he spent more time on the city than his wife. he returned there often.,5f83d0de-590a-4fc4-bd16-821e639678b4,jim had never been overseas. he always wanted to visit paris. he finally got the chance to on his wedding night. he spent more time on the city than his wife. he returned there often.,jim had never been overseas. he always wanted to visit paris. he finally got the chance to on his wedding night. he was very happy. he returned there often.,A,B,B A both both both
